alpha,tau,d_units_net,d_units_affordable,d_units_market,d_rent_pct
0.375,17.0,44360.6,89916.3,-45555.7,-0.4677
0.375,18.0,46875.6,91775.5,-44899.9,-0.4494
0.375,19.0,49195.1,93319.2,-44124.2,-0.4308
0.375,20.0,51486.3,95035.6,-43549.2,-0.4139
0.375,21.0,53560.5,96608.5,-43048.0,-0.3994
0.375,22.0,55674.8,98032.4,-42357.6,-0.3816
0.375,23.0,57594.3,99338.9,-41744.6,-0.3652
0.375,24.0,59485.1,100787.2,-41302.2,-0.3511
0.375,25.0,61200.4,102113.5,-40913.1,-0.3381
0.375,26.0,62941.0,103309.9,-40369.0,-0.323
0.375,27.0,64516.1,104403.1,-39887.0,-0.3091
0.375,28.0,66069.2,105614.7,-39545.5,-0.2972
0.375,29.0,67492.4,106611.4,-39118.9,-0.2845
0.375,30.0,68896.5,107716.5,-38820.0,-0.2735
0.4,0.0,-17812.3,53360.2,-71172.5,-0.9692
0.4,1.0,-13320.5,56190.9,-69511.4,-0.9404
0.4,2.0,-8917.0,59004.4,-67921.3,-0.9119
0.4,3.0,-4615.5,61789.2,-66404.7,-0.884
0.4,4.0,-424.2,64534.9,-64959.1,-0.8567
0.4,5.0,3646.3,67235.9,-63589.6,-0.8295
0.4,6.0,7597.9,69886.5,-62288.6,-0.8031
0.4,7.0,11423.3,72480.6,-61057.4,-0.7774
0.4,8.0,15133.2,75021.6,-59888.4,-0.7511
0.4,9.0,18702.5,77490.7,-58788.2,-0.7264
0.4,10.0,22138.6,79890.3,-57751.8,-0.7024
0.4,11.0,25379.8,82184.3,-56804.5,-0.6796
0.4,12.0,28620.9,84478.3,-55857.3,-0.6567
0.4,13.0,31609.1,86627.0,-55017.9,-0.6354
0.4,14.0,34597.2,88775.8,-54178.5,-0.6141
0.4,15.0,37343.0,90778.8,-53435.8,-0.5943
0.4,16.0,40088.8,92781.8,-52693.0,-0.5745
0.4,17.0,42603.9,94641.1,-52037.2,-0.5562
0.4,18.0,45119.0,96500.4,-51381.3,-0.5378
0.4,19.0,47410.3,98216.7,-50806.4,-0.521
0.4,20.0,49701.6,99933.0,-50231.4,-0.5042
0.4,21.0,51775.8,101506.0,-49730.2,-0.4897
0.4,22.0,53850.0,103078.9,-49228.9,-0.4751
0.4,23.0,55740.8,104527.3,-48786.5,-0.461
0.4,24.0,57631.5,105975.7,-48344.1,-0.4469
0.4,25.0,59346.8,107301.9,-47955.1,-0.434
0.4,26.0,61062.1,108628.2,-47566.0,-0.421
0.4,27.0,62615.2,109839.8,-47224.5,-0.409
0.4,28.0,64168.3,111051.4,-46883.1,-0.3971
0.4,29.0,65572.4,112156.5,-46584.1,-0.3861
0.4,30.0,66976.5,113261.6,-46285.1,-0.3752
0.425,0.0,-18891.7,55905.0,-74796.7,-1.0187
0.425,1.0,-14456.9,58857.0,-73313.9,-0.9924
0.425,2.0,-10107.0,61791.9,-71898.9,-0.9664
0.425,3.0,-5857.4,64697.8,-70555.3,-0.9408
0.425,4.0,-1718.7,67561.4,-69280.1,-0.9165
0.425,5.0,2313.3,70386.1,-68072.8,-0.8905
0.425,6.0,6215.9,73150.5,-66934.6,-0.8668
0.425,7.0,9999.5,75859.4,-65859.9,-0.8433
0.425,8.0,13657.9,78505.3,-64847.5,-0.8204
0.425,9.0,17200.8,81092.1,-63891.3,-0.7965
0.425,10.0,20602.7,83599.7,-62997.0,-0.7745
0.425,11.0,23818.2,85940.6,-62122.4,-0.7527
0.425,12.0,27020.6,88321.8,-61301.2,-0.7316
0.425,13.0,29950.7,90660.9,-60710.3,-0.7136
0.425,14.0,32938.8,92809.7,-59870.9,-0.6923
0.425,15.0,35684.6,94812.7,-59128.1,-0.6725
0.425,16.0,38378.4,96993.6,-58615.2,-0.6558
0.425,17.0,40847.0,99018.0,-58171.0,-0.6403
0.425,18.0,43362.1,100877.3,-57515.2,-0.622
0.425,19.0,45616.0,102748.6,-57132.6,-0.6078
0.425,20.0,47907.3,104464.9,-56557.6,-0.591
0.425,21.0,49981.5,106037.9,-56056.4,-0.5764
0.425,22.0,52028.3,107758.8,-55730.4,-0.5634
0.425,23.0,53881.8,109332.8,-55451.0,-0.5522
0.425,24.0,55772.6,110781.2,-55008.6,-0.5381
0.425,25.0,57487.9,112107.4,-54619.5,-0.5252
0.425,26.0,59177.1,113554.5,-54377.4,-0.5142
0.425,27.0,60707.7,114877.0,-54169.3,-0.5041
0.425,28.0,62260.8,116088.6,-53827.8,-0.4922
0.425,29.0,63664.9,117193.7,-53528.8,-0.4812
0.425,30.0,65048.8,118399.4,-53350.5,-0.4719
0.45,0.0,-19965.6,58367.9,-78333.5,-1.067
0.45,1.0,-15587.8,61435.4,-77023.2,-1.0431
0.45,2.0,-11291.7,64486.2,-75777.9,-1.0195
0.45,3.0,-7094.5,67507.1,-74601.7,-0.9963
0.45,4.0,-2998.6,70490.1,-73488.7,-0.9735
0.45,5.0,980.8,73423.8,-72443.0,-0.9506
0.45,6.0,4838.1,76299.6,-71461.5,-0.929
0.45,7.0,8579.4,79118.0,-70538.6,-0.9075
0.45,8.0,12197.1,81871.1,-69674.0,-0.8866
0.45,9.0,15702.0,84563.4,-68861.4,-0.8649
0.45,10.0,19069.2,87174.6,-68105.4,-0.8449
0.45,11.0,22244.7,89670.0,-67425.2,-0.8256
0.45,12.0,25420.3,92165.3,-66745.1,-0.8064
0.45,13.0,28350.3,94504.5,-66154.1,-0.7885
0.45,14.0,31280.4,96843.6,-65563.2,-0.7705
0.45,15.0,33974.2,99024.4,-65050.3,-0.7538
0.45,16.0,36667.9,101205.3,-64537.4,-0.7371
0.45,17.0,39136.6,103229.8,-64093.2,-0.7216
0.45,18.0,41605.2,105254.2,-63649.0,-0.7062
0.45,19.0,43859.1,107125.5,-63266.4,-0.6919
0.45,20.0,46113.0,108996.8,-62883.8,-0.6777
0.45,21.0,48159.9,110717.7,-62557.9,-0.6647
0.45,22.0,50206.7,112438.6,-62231.9,-0.6517
0.45,23.0,52060.2,114012.7,-61952.5,-0.6405
0.45,24.0,53913.7,115586.7,-61673.1,-0.6294
0.45,25.0,55602.9,117033.8,-61430.9,-0.6184
0.45,26.0,57292.1,118480.9,-61188.8,-0.6075
0.45,27.0,58822.7,119803.4,-60980.6,-0.5974
0.45,28.0,60353.4,121125.9,-60772.5,-0.5873
0.45,29.0,61737.3,122331.5,-60594.2,-0.578
0.45,30.0,63121.2,123537.1,-60415.9,-0.5687
0.475,0.0,-21033.5,60743.7,-81777.2,-1.1139
0.475,1.0,-16712.8,63920.6,-80633.4,-1.0925
0.475,2.0,-12470.8,67081.3,-79552.1,-1.0712
0.475,3.0,-8326.2,70211.0,-78537.2,-1.0503
0.475,4.0,-4279.5,73303.3,-77582.9,-1.0297
0.475,5.0,-351.2,76341.5,-76692.7,-1.0096
0.475,6.0,3465.2,79326.2,-75861.0,-0.9895
0.475,7.0,7163.4,82248.5,-75085.1,-0.9701
0.475,8.0,10740.3,85103.8,-74363.5,-0.9511
0.475,9.0,14200.9,87891.9,-73691.0,-0.9321
0.475,10.0,17538.0,90605.7,-73067.7,-0.9133
0.475,11.0,20688.1,93142.2,-72454.2,-0.8951
0.475,12.0,23825.2,95715.8,-71890.7,-0.8775
0.475,13.0,26755.2,98054.9,-71299.7,-0.8596
0.475,14.0,29625.2,100567.6,-70942.4,-0.8448
0.475,15.0,32266.4,102911.8,-70645.4,-0.8311
0.475,16.0,34960.2,105092.7,-70132.4,-0.8144
0.475,17.0,37428.9,107117.1,-69688.3,-0.7989
0.475,18.0,39849.8,109293.3,-69443.5,-0.7861
0.475,19.0,42103.7,111164.6,-69060.9,-0.7719
0.475,20.0,44318.3,113177.9,-68859.6,-0.7601
0.475,21.0,46365.1,114898.7,-68533.6,-0.7471
0.475,22.0,48375.6,116750.2,-68374.7,-0.7364
0.475,23.0,50205.3,118451.5,-68246.2,-0.7265
0.475,24.0,52058.8,120025.6,-67966.8,-0.7153
0.475,25.0,53713.1,121577.7,-67864.7,-0.707
0.475,26.0,55402.3,123024.8,-67622.5,-0.6961
0.475,27.0,56932.9,124347.3,-67414.4,-0.686
0.475,28.0,58439.7,125772.0,-67332.3,-0.6776
0.475,29.0,59803.7,127071.8,-67268.1,-0.67
0.475,30.0,61187.6,128277.5,-67089.9,-0.6607
0.5,0.0,-22096.0,63040.7,-85136.8,-1.1597
0.5,1.0,-17831.8,66321.8,-84153.6,-1.1406
0.5,2.0,-13644.9,69586.3,-83231.2,-1.1217
0.5,3.0,-9552.5,72819.6,-82372.1,-1.1029
0.5,4.0,-5556.4,76014.9,-81571.2,-1.0845
0.5,5.0,-1677.8,79153.5,-80831.3,-1.0671
0.5,6.0,2104.1,82247.3,-80143.2,-1.0476
0.5,7.0,5751.9,85263.2,-79511.3,-1.0311
0.5,8.0,9287.7,88215.7,-78928.0,-1.0141
0.5,9.0,12704.0,91095.2,-78391.2,-0.9975
0.5,10.0,16009.7,93906.2,-77896.5,-0.9801
0.5,11.0,19119.9,96586.3,-77466.4,-0.9644
0.5,12.0,22230.0,99266.3,-77036.3,-0.9486
0.5,13.0,25100.0,101778.9,-76678.9,-0.9339
0.5,14.0,27970.0,104291.6,-76321.6,-0.9191
0.5,15.0,30611.2,106635.8,-76024.6,-0.9054
0.5,16.0,33252.5,108980.0,-75727.5,-0.8916
0.5,17.0,35673.5,111156.2,-75482.7,-0.8789
0.5,18.0,38094.4,113332.4,-75238.0,-0.8661
0.5,19.0,40309.0,115345.6,-75036.7,-0.8543
0.5,20.0,42523.5,117358.9,-74835.4,-0.8425
0.5,21.0,44534.0,119210.4,-74676.4,-0.8318
0.5,22.0,46544.5,121061.9,-74517.4,-0.8211
0.5,23.0,48374.2,122763.2,-74389.0,-0.8112
0.5,24.0,50204.0,124464.5,-74260.5,-0.8013
0.5,25.0,51858.2,126016.6,-74158.4,-0.793
0.5,26.0,53512.4,127568.8,-74056.3,-0.7847
0.5,27.0,55019.2,128993.4,-73974.2,-0.7763
0.5,28.0,56526.0,130418.1,-73892.1,-0.768
0.5,29.0,57890.0,131717.9,-73827.9,-0.7603
0.5,30.0,59254.0,133017.8,-73763.8,-0.7526
0.525,0.0,-23153.8,65217.0,-88370.8,-1.2039
0.525,1.0,-18921.6,68278.1,-87199.7,-1.1822
0.525,2.0,-14814.9,71953.7,-86768.6,-1.1704
0.525,3.0,-10751.8,74922.7,-85674.6,-1.1484
0.525,4.0,-6830.9,78572.0,-85403.0,-1.1376
0.525,5.0,-2977.9,81402.9,-84380.8,-1.1163
0.525,6.0,731.7,84989.2,-84257.5,-1.1053
0.525,7.0,4359.3,87656.1,-83296.8,-1.0839
0.525,8.0,7834.1,91142.8,-83308.6,-1.075
0.525,9.0,11227.7,93628.1,-82400.4,-1.0536
0.525,10.0,14473.5,97003.6,-82530.1,-1.0452
0.525,11.0,17521.8,99855.9,-82334.1,-1.0324
0.525,12.0,20631.9,102535.9,-81904.0,-1.0167
0.525,13.0,23501.9,105048.5,-81546.7,-1.0019
0.525,14.0,26310.0,107718.6,-81408.5,-0.9902
0.525,15.0,28951.3,110062.8,-81111.5,-0.9765
0.525,16.0,31537.6,112555.7,-81018.1,-0.9656
0.525,17.0,33910.5,114871.4,-80960.9,-0.9555
0.525,18.0,36331.4,117047.5,-80716.1,-0.9427
0.525,19.0,38546.0,119060.8,-80514.8,-0.9309
0.525,20.0,40716.9,121203.1,-80486.3,-0.9215
0.525,21.0,42727.3,123054.6,-80327.3,-0.9108
0.525,22.0,44702.3,125026.8,-80324.5,-0.9022
0.525,23.0,46532.1,126728.1,-80196.0,-0.8923
0.525,24.0,48328.2,128540.1,-80211.9,-0.8845
0.525,25.0,49982.5,130092.2,-80109.8,-0.8762
0.525,26.0,51614.9,131753.5,-80138.5,-0.8689
0.525,27.0,53089.3,133265.8,-80176.5,-0.8629
0.525,28.0,54596.1,134690.4,-80094.4,-0.8546
0.525,29.0,55960.1,135990.3,-80030.2,-0.8469
0.525,30.0,57302.2,137376.6,-80074.4,-0.8408
0.55,0.0,-24211.5,67393.3,-91604.8,-1.2481
0.55,1.0,-20011.4,70234.4,-90245.7,-1.2239
0.55,2.0,-15985.0,74321.2,-90306.1,-1.2191
0.55,3.0,-11951.2,77025.9,-88977.1,-1.194
0.55,4.0,-8105.5,81129.2,-89234.7,-1.1906
0.55,5.0,-4278.0,83652.3,-87930.3,-1.1655
0.55,6.0,-640.8,87731.0,-88371.8,-1.163
0.55,7.0,2966.8,90049.0,-87082.2,-1.1367
0.55,8.0,6380.6,94069.8,-87689.2,-1.1359
0.55,9.0,9751.5,96161.1,-86409.5,-1.1097
0.55,10.0,12937.3,100101.0,-87163.6,-1.1104
0.55,11.0,15985.6,102953.2,-86967.7,-1.0975
0.55,12.0,19033.8,105805.5,-86771.7,-1.0847
0.55,13.0,21842.0,108475.5,-86633.5,-1.073
0.55,14.0,24650.1,111145.5,-86495.4,-1.0614
0.55,15.0,27236.4,113638.5,-86402.1,-1.0505
0.55,16.0,29822.7,116131.5,-86308.7,-1.0396
0.55,17.0,32195.6,118447.1,-86251.5,-1.0294
0.55,18.0,34568.4,120762.7,-86194.3,-1.0193
0.55,19.0,36739.3,122905.0,-86165.8,-1.0099
0.55,20.0,38910.2,125047.4,-86137.2,-1.0005
0.55,21.0,40885.2,127019.6,-86134.4,-0.992
0.55,22.0,42860.2,128991.7,-86131.5,-0.9834
0.55,23.0,44656.4,130803.7,-86147.4,-0.9755
0.55,24.0,46452.5,132615.7,-86163.2,-0.9676
0.55,25.0,48085.0,134276.9,-86192.0,-0.9604
0.55,26.0,49717.4,135938.2,-86220.7,-0.9531
0.55,27.0,51191.8,137450.5,-86258.7,-0.9471
0.55,28.0,52666.1,138962.8,-86296.7,-0.9412
0.55,29.0,54008.3,140349.1,-86340.8,-0.9351
0.55,30.0,55350.4,141735.4,-86385.0,-0.9289
0.575,0.0,-25255.8,69415.7,-94671.5,-1.29
0.575,1.0,-21101.2,72190.6,-93291.8,-1.2655
0.575,2.0,-17142.1,76512.5,-93654.6,-1.2652
0.575,3.0,-13150.6,79129.0,-92279.6,-1.2395
0.575,4.0,-9367.3,83488.5,-92855.8,-1.2407
0.575,5.0,-5578.0,85901.7,-91479.7,-1.2147
0.575,6.0,-1996.3,90257.8,-92254.2,-1.2169
0.575,7.0,1574.2,92441.9,-90867.7,-1.1895
0.575,8.0,4937.5,96757.9,-91820.4,-1.1936
0.575,9.0,8275.3,98694.0,-90418.7,-1.1658
0.575,10.0,11415.5,102944.6,-91529.2,-1.1714
0.575,11.0,14463.7,105796.9,-91333.2,-1.1586
0.575,12.0,17441.6,108798.4,-91356.7,-1.1491
0.575,13.0,20189.1,111611.3,-91422.2,-1.1404
0.575,14.0,22997.3,114281.3,-91284.1,-1.1287
0.575,15.0,25526.6,116907.1,-91380.5,-1.1205
0.575,16.0,28112.9,119400.1,-91287.2,-1.1096
0.575,17.0,30485.7,121715.7,-91230.0,-1.0995
0.575,18.0,32809.3,124157.2,-91347.9,-1.0918
0.575,19.0,34935.9,126416.8,-91480.9,-1.0847
0.575,20.0,37106.8,128559.2,-91452.4,-1.0753
0.575,21.0,39045.9,130641.7,-91595.7,-1.0688
0.575,22.0,41020.9,132613.8,-91592.9,-1.0602
0.575,23.0,42781.5,134525.3,-91743.8,-1.0543
0.575,24.0,44577.6,136337.3,-91759.6,-1.0464
0.575,25.0,46210.1,137998.5,-91788.4,-1.0391
0.575,26.0,47812.0,139752.3,-91940.3,-1.0336
0.575,27.0,49286.4,141264.7,-91978.3,-1.0277
0.575,28.0,50741.3,142869.8,-92128.5,-1.0226
0.575,29.0,52053.4,144328.2,-92274.8,-1.0186
0.575,30.0,53395.6,145714.5,-92318.9,-1.0124
0.6,0.0,-26300.1,71438.2,-97738.3,-1.3318
0.6,1.0,-22191.0,74146.9,-96337.9,-1.3071
0.6,2.0,-18299.2,78703.9,-97003.1,-1.3113
0.6,3.0,-14349.9,81232.2,-95582.1,-1.285
0.6,4.0,-10629.1,85847.8,-96476.8,-1.2908
0.6,5.0,-6878.1,88151.1,-95029.2,-1.2638
0.6,6.0,-3351.9,92784.7,-96136.6,-1.2708
0.6,7.0,181.7,94834.8,-94653.1,-1.2423
0.6,8.0,3494.5,99446.0,-95951.6,-1.2512
0.6,9.0,6799.1,101226.9,-94427.9,-1.2219
0.6,10.0,9893.6,105788.3,-95894.7,-1.2324
0.6,11.0,12871.5,108789.8,-95918.2,-1.2229
0.6,12.0,15849.4,111791.2,-95941.8,-1.2134
0.6,13.0,18596.9,114604.2,-96007.2,-1.2047
0.6,14.0,21344.4,117417.1,-96072.7,-1.196
0.6,15.0,23873.7,120042.9,-96169.2,-1.1878
0.6,16.0,26403.0,122668.7,-96265.7,-1.1797
0.6,17.0,28726.6,125110.2,-96383.6,-1.172
0.6,18.0,31050.2,127551.7,-96501.5,-1.1644
0.6,19.0,33176.8,129811.3,-96634.5,-1.1573
0.6,20.0,35303.4,132070.9,-96767.5,-1.1502
0.6,21.0,37242.5,134153.4,-96910.9,-1.1436
0.6,22.0,39181.7,136235.9,-97054.3,-1.1371
0.6,23.0,40942.2,138147.4,-97205.1,-1.1311
0.6,24.0,42702.8,140058.8,-97356.0,-1.1252
0.6,25.0,44304.7,141812.7,-97507.9,-1.1197
0.6,26.0,45906.6,143566.5,-97659.9,-1.1141
0.6,27.0,47361.5,145171.7,-97810.1,-1.109
0.6,28.0,48816.4,146776.8,-97960.4,-1.1039
0.6,29.0,50128.6,148235.2,-98106.6,-1.0999
0.6,30.0,51440.7,149693.6,-98252.8,-1.0959
0.625,0.0,-27333.0,73311.8,-100644.8,-1.3718
0.625,1.0,-23280.8,76103.2,-99384.0,-1.3488
0.625,2.0,-19442.1,80727.3,-100169.4,-1.3549
0.625,3.0,-15549.3,83335.3,-98884.6,-1.3305
0.625,4.0,-11877.2,88017.7,-99894.9,-1.3382
0.625,5.0,-8178.2,90400.5,-98578.7,-1.313
0.625,6.0,-4696.1,95099.9,-99796.0,-1.3218
0.625,7.0,-1210.9,97227.7,-98438.6,-1.2951
0.625,8.0,2063.6,101905.1,-99841.5,-1.3055
0.625,9.0,5322.9,103759.9,-98437.0,-1.278
0.625,10.0,8382.2,108384.0,-100001.8,-1.2901
0.625,11.0,11360.1,111385.4,-100025.3,-1.2805
0.625,12.0,14261.9,114514.1,-100252.2,-1.2747
0.625,13.0,17009.4,117327.0,-100317.6,-1.266
0.625,14.0,19698.3,120270.8,-100572.5,-1.2596
0.625,15.0,22227.6,122896.6,-100669.0,-1.2514
0.625,16.0,24700.6,125641.7,-100941.0,-1.2458
0.625,17.0,26972.9,128194.6,-101221.7,-1.2406
0.625,18.0,29296.4,130636.1,-101339.6,-1.2329
0.625,19.0,31377.9,133000.6,-101622.6,-1.228
0.625,20.0,33504.6,135260.2,-101755.7,-1.2209
0.625,21.0,35443.7,137342.7,-101899.0,-1.2143
0.625,22.0,37345.7,139524.8,-102179.1,-1.2097
0.625,23.0,39106.3,141436.3,-102330.0,-1.2038
0.625,24.0,40831.3,143438.0,-102606.7,-1.1996
0.625,25.0,42401.5,145274.8,-102873.4,-1.1958
0.625,26.0,44003.4,147028.7,-103025.3,-1.1903
0.625,27.0,45430.0,148710.4,-103280.4,-1.1867
0.625,28.0,46884.9,150315.6,-103430.7,-1.1815
0.625,29.0,48197.0,151773.9,-103576.9,-1.1775
0.625,30.0,49491.9,153310.8,-103818.9,-1.1742
0.65,0.0,-28365.9,75185.3,-103551.2,-1.4117
0.65,1.0,-24370.6,78059.4,-102430.1,-1.3904
0.65,2.0,-20585.0,82750.6,-103335.6,-1.3984
0.65,3.0,-16748.6,85438.4,-102187.0,-1.376
0.65,4.0,-13125.3,90187.5,-103312.9,-1.3855
0.65,5.0,-9478.2,92649.9,-102128.1,-1.3622
0.65,6.0,-6040.4,97415.1,-103455.5,-1.3728
0.65,7.0,-2603.4,99620.6,-102224.0,-1.3479
0.65,8.0,632.7,104364.2,-103731.5,-1.3598
0.65,9.0,3846.6,106292.8,-102446.2,-1.3341
0.65,10.0,6870.8,110979.7,-104108.8,-1.3477
0.65,11.0,9772.6,114108.3,-104335.7,-1.3418
0.65,12.0,12674.4,117236.9,-104562.6,-1.3359
0.65,13.0,15363.3,120180.7,-104817.4,-1.3295
0.65,14.0,18052.2,123124.4,-105072.3,-1.3232
0.65,15.0,20525.2,125869.5,-105344.3,-1.3176
0.65,16.0,22998.3,128614.6,-105616.3,-1.312
0.65,17.0,25270.5,131167.5,-105897.0,-1.3067
0.65,18.0,27542.7,133720.5,-106177.8,-1.3014
0.65,19.0,29624.2,136085.0,-106460.8,-1.2965
0.65,20.0,31705.7,138449.5,-106743.8,-1.2916
0.65,21.0,33607.7,140631.6,-107023.9,-1.287
0.65,22.0,35509.8,142813.7,-107303.9,-1.2824
0.65,23.0,37234.8,144815.4,-107580.6,-1.2782
0.65,24.0,38959.8,146817.2,-107857.3,-1.2741
0.65,25.0,40530.0,148654.0,-108124.0,-1.2702
0.65,26.0,42100.1,150490.9,-108390.7,-1.2664
0.65,27.0,43526.7,152172.6,-108645.9,-1.2628
0.65,28.0,44953.3,153854.3,-108901.0,-1.2592
0.65,29.0,46248.2,155391.2,-109143.0,-1.2558
0.65,30.0,47543.1,156928.1,-109385.0,-1.2525
0.675,0.0,-29381.0,76922.3,-106303.3,-1.4489
0.675,1.0,-25460.4,80015.7,-105476.2,-1.432
0.675,2.0,-21713.4,84613.4,-106326.7,-1.4394
0.675,3.0,-17948.0,87541.6,-105489.5,-1.4215
0.675,4.0,-14358.6,92177.1,-106535.8,-1.4301
0.675,5.0,-10778.3,94899.3,-105677.6,-1.4114
0.675,6.0,-7370.3,99529.9,-106900.3,-1.4208
0.675,7.0,-3996.0,102013.5,-106009.5,-1.4007
0.675,8.0,-790.8,106597.4,-107388.1,-1.4117
0.675,9.0,2370.4,108825.8,-106455.3,-1.3902
0.675,10.0,5371.0,113337.2,-107966.1,-1.402
0.675,11.0,8272.8,116465.8,-108193.0,-1.3961
0.675,12.0,11102.5,119709.8,-108607.2,-1.393
0.675,13.0,13791.4,122653.5,-108862.1,-1.3866
0.675,14.0,16410.5,125701.9,-109291.4,-1.3836
0.675,15.0,18830.7,128557.1,-109726.3,-1.3799
0.675,16.0,21303.8,131302.1,-109998.4,-1.3743
0.675,17.0,23576.0,133855.1,-110279.1,-1.3691
0.675,18.0,25796.4,136506.4,-110710.0,-1.366
0.675,19.0,27877.9,138870.9,-110993.0,-1.3611
0.675,20.0,29912.7,141327.5,-111414.8,-1.3582
0.675,21.0,31773.8,143596.1,-111822.3,-1.3555
0.675,22.0,33675.8,145778.2,-112102.4,-1.3509
0.675,23.0,35368.0,147862.7,-112494.7,-1.3484
0.675,24.0,37093.0,149864.4,-112771.4,-1.3443
0.675,25.0,38663.1,151701.3,-113038.1,-1.3404
0.675,26.0,40200.6,153612.3,-113411.8,-1.3382
0.675,27.0,41627.2,155294.0,-113666.9,-1.3346
0.675,28.0,43024.8,157044.0,-114019.3,-1.3324
0.675,29.0,44293.7,158643.8,-114350.1,-1.3304
0.675,30.0,45588.6,160180.6,-114592.1,-1.327
0.7,0.0,-30396.1,78659.2,-109055.3,-1.4862
0.7,1.0,-26550.2,81972.0,-108522.2,-1.4737
0.7,2.0,-22841.7,86476.1,-109317.8,-1.4804
0.7,3.0,-19147.3,89644.7,-108792.0,-1.4671
0.7,4.0,-15592.0,94166.7,-109758.7,-1.4747
0.7,5.0,-12078.4,97148.7,-109227.1,-1.4605
0.7,6.0,-8700.3,101644.7,-110345.0,-1.4688
0.7,7.0,-5388.6,104406.3,-109794.9,-1.4535
0.7,8.0,-2214.2,108830.6,-111044.8,-1.4635
0.7,9.0,894.2,111358.7,-110464.5,-1.4463
0.7,10.0,3871.2,115694.7,-111823.5,-1.4563
0.7,11.0,6701.0,118938.6,-112237.7,-1.4532
0.7,12.0,9530.7,122182.6,-112651.9,-1.4501
0.7,13.0,12149.8,125231.0,-113081.2,-1.4471
0.7,14.0,14768.9,128279.4,-113510.4,-1.4441
0.7,15.0,17189.1,131134.5,-113945.4,-1.4404
0.7,16.0,19609.3,133989.7,-114380.4,-1.4367
0.7,17.0,21829.6,136641.0,-114811.3,-1.4337
0.7,18.0,24050.0,139292.3,-115242.3,-1.4306
0.7,19.0,26084.8,141748.9,-115664.1,-1.4278
0.7,20.0,28119.6,144205.5,-116085.9,-1.4249
0.7,21.0,29980.8,146474.1,-116493.4,-1.4222
0.7,22.0,31841.9,148742.8,-116900.9,-1.4195
0.7,23.0,33534.0,150827.2,-117293.2,-1.417
0.7,24.0,35226.1,152911.7,-117685.5,-1.4145
0.7,25.0,36763.6,154822.7,-118059.2,-1.4122
0.7,26.0,38301.0,156733.8,-118432.8,-1.41
0.7,27.0,39698.6,158483.8,-118785.2,-1.4078
0.7,28.0,41096.2,160233.8,-119137.6,-1.4056
0.7,29.0,42365.1,161833.5,-119468.4,-1.4036
0.7,30.0,43634.0,163433.2,-119799.2,-1.4016
0.725,0.0,-31395.6,80264.5,-111660.0,-1.5212
0.725,1.0,-27640.1,83928.3,-111568.3,-1.5153
0.725,2.0,-23953.2,88187.7,-112140.9,-1.519
0.725,3.0,-20346.7,91747.9,-112094.5,-1.5126
0.725,4.0,-16809.7,95984.7,-112794.4,-1.5167
0.725,5.0,-13378.4,99398.1,-112776.5,-1.5097
0.725,6.0,-10014.9,103568.5,-113583.5,-1.514
0.725,7.0,-6781.1,106799.2,-113580.4,-1.5063
0.725,8.0,-3616.0,110861.3,-114477.2,-1.5113
0.725,9.0,-582.0,113891.6,-114473.6,-1.5024
0.725,10.0,2386.2,117825.9,-115439.7,-1.5072
0.725,11.0,5141.1,121167.3,-116026.1,-1.5069
0.725,12.0,7970.9,124411.2,-116440.3,-1.5038
0.725,13.0,10524.3,127554.2,-117029.9,-1.5033
0.725,14.0,13143.4,130602.6,-117459.2,-1.5003
0.725,15.0,15563.6,133457.7,-117894.2,-1.4966
0.725,16.0,17923.8,136402.2,-118478.4,-1.4953
0.725,17.0,20091.9,139139.7,-119047.8,-1.4944
0.725,18.0,22312.3,141791.0,-119478.7,-1.4914
0.725,19.0,24299.8,144327.8,-120027.9,-1.4905
0.725,20.0,26334.7,146784.4,-120449.7,-1.4876
0.725,21.0,28153.0,149127.9,-120974.9,-1.4867
0.725,22.0,30014.2,151396.5,-121382.4,-1.484
0.725,23.0,31706.3,153481.0,-121774.7,-1.4815
0.725,24.0,33365.3,155638.4,-122273.1,-1.4806
0.725,25.0,34869.2,157614.4,-122745.2,-1.4798
0.725,26.0,36406.6,159525.4,-123118.8,-1.4775
0.725,27.0,37774.8,161336.2,-123561.3,-1.4767
0.725,28.0,39172.4,163086.2,-123913.8,-1.4746
0.725,29.0,40415.0,164741.6,-124326.6,-1.4738
0.725,30.0,41683.9,166341.3,-124657.4,-1.4717
0.75,0.0,-32395.1,81869.7,-114264.8,-1.5563
0.75,1.0,-28729.9,85884.5,-114614.4,-1.5569
0.75,2.0,-25064.7,89899.4,-114964.0,-1.5576
0.75,3.0,-21546.0,93851.0,-115397.0,-1.5581
0.75,4.0,-18027.4,97802.7,-115830.0,-1.5586
0.75,5.0,-14678.5,101647.5,-116326.0,-1.5589
0.75,6.0,-11329.6,105492.3,-116821.9,-1.5592
0.75,7.0,-8173.7,109192.1,-117365.8,-1.5591
0.75,8.0,-5017.7,112891.9,-117909.7,-1.559
0.75,9.0,-2058.2,116424.6,-118482.8,-1.5585
0.75,10.0,901.3,119957.2,-119055.9,-1.5581
0.75,11.0,3656.2,123298.5,-119642.4,-1.5578
0.75,12.0,6411.1,126639.9,-120228.8,-1.5575
0.75,13.0,8964.5,129782.8,-120818.4,-1.557
0.75,14.0,11517.9,132925.8,-121407.9,-1.5564
